jersey_number,position,name,dob,nation,nation_code,club,club_country,height_cm,caps,int_goals,c2425_matches,c2425_starts,c2425_minutes,c2425_nineties,c2425_goals,c2425_assists,c2425_pens_scored,c2425_pens_att,c2425_yellows,c2425_reds,c2425_shots,c2425_shots_on_target,c2425_fouls,c2425_interceptions,c2425_tackles_won,c2425_own_goals,c2425_pens_won,c2425_pens_conceded,c2425_match_score,c2425_matched_player,c2526_matches,c2526_starts,c2526_minutes,c2526_nineties,c2526_goals,c2526_assists,c2526_pens_scored,c2526_pens_att,c2526_yellows,c2526_reds,c2526_shots,c2526_shots_on_target,c2526_fouls,c2526_interceptions,c2526_tackles_won,c2526_own_goals,c2526_pens_won,c2526_pens_conceded,c2526_match_score,c2526_matched_player,i2018_matches,i2018_starts,i2018_minutes,i2018_nineties,i2018_goals,i2018_assists,i2018_pens_scored,i2018_pens_att,i2018_yellows,i2018_reds,i2018_shots,i2018_shots_on_target,i2018_fouls,i2018_interceptions,i2018_tackles_won,i2018_own_goals,i2018_pens_won,i2018_pens_conceded,i2018_match_score,i2018_matched_player,i2022_matches,i2022_starts,i2022_minutes,i2022_nineties,i2022_goals,i2022_assists,i2022_pens_scored,i2022_pens_att,i2022_yellows,i2022_reds,i2022_shots,i2022_shots_on_target,i2022_fouls,i2022_interceptions,i2022_tackles_won,i2022_own_goals,i2022_pens_won,i2022_pens_conceded,i2022_match_score,i2022_matched_player
24,FW,ALI AZAIZEH Ali Ahmad Ali AZAIZEH AZAIZEH,13/04/2004,Jordan,JOR,Al Shabab FC,KSA,178,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MF,MOHAMMAD ALDAOUD Mohammad Ratib Mohammad ALDAOUD ALDAOUD,12/04/1992,Jordan,JOR,Al Wahdat SC,JOR,185,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DF,ANAS BADAWI Anas Said Ghazi BADAWI BADAWI,13/09/1997,Jordan,JOR,Al Faisaly SC,JOR,174,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,KIM Seunggyu Seunggyu KIM SEUNGGYU,30/09/1990,Korea Republic,KOR,FC Tokyo,JPN,187,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DF,LEE Hanbeom Hanbeom LEE HANBEOM,17/06/2002,Korea Republic,KOR,FC Midtjylland,DEN,188,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MF,LEE Gihyuk Gihyuk LEE GIHYUK,07/07/2000,Korea Republic,KOR,Gangwon FC,KOR,184,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DF,KIM Minjae Minjae KIM MINJAE,15/11/1996,Korea Republic,KOR,FC Bayern München,GER,190,82,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DF,KIM Taehyeon Taehyeon KIM TAEHYEON,17/09/2000,Korea Republic,KOR,Kashima Antlers,JPN,186,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MF,HWANG Inbeom Inbeom HWANG INBEOM,20/09/1996,Korea Republic,KOR,Feyenoord Rotterdam,NED,177,76,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FW,SON Heungmin Heung Min SON HEUNGMIN,08/07/1992,Korea Republic,KOR,LAFC,USA,183,147,56,30.0,24.0,2110.0,23.4,7.0,9.0,1.0,2.0,1.0,0.0,57.0,26.0,6.0,4.0,9.0,0.0,,,100.0,Son Heung-min,,,,,,,,,,,,,,,,,,,,,3.0,3.0,270.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,100.0,Son Heung-min,4.0,4.0,360.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,2.0,2.0,0.0,,,100.0,Son Heung-min
8,MF,PAIK Seungho Seungho PAIK SEUNGHO,17/03/1997,Korea Republic,KOR,Birmingham City FC,ENG,182,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FW,CHO Guesung Guesung CHO GUESUNG,25/01/1998,Korea Republic,KOR,FC Midtjylland,DEN,188,46,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,275.0,3.1,2.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0,7.0,0.0,0.0,0.0,,,95.65217391304348,Cho Gue-sung
10,MF,LEE Jaesung Jae Sung LEE JAESUNG,10/08/1992,Korea Republic,KOR,1. FSV Mainz 05,GER,180,107,15,33.0,31.0,2650.0,29.4,7.0,6.0,0.0,0.0,4.0,0.0,39.0,16.0,23.0,37.0,24.0,0.0,,,100.0,Lee Jae-sung,28.0,26.0,2185.0,24.3,4.0,2.0,0.0,0.0,4.0,0.0,30.0,9.0,19.0,25.0,21.0,0.0,,,100.0,Lee Jae-sung,3.0,3.0,270.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,6.0,7.0,4.0,0.0,0.0,0.0,100.0,Lee Jae-sung,3.0,3.0,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,,,100.0,Lee Jae-sung
11,MF,HWANG Heechan Hee Chan HWANG HEECHAN,26/01/1996,Korea Republic,KOR,Wolverhampton Wanderers FC,ENG,177,82,17,21.0,5.0,661.0,7.3,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,3.0,4.0,0.0,,,100.0,Hwang Hee-chan,26.0,18.0,1446.0,16.1,2.0,2.0,1.0,1.0,5.0,0.0,19.0,6.0,28.0,12.0,4.0,0.0,,,100.0,Hwang Hee-chan,3.0,2.0,203.0,2.3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,3.0,8.0,0.0,0.0,0.0,100.0,Hwang Hee-chan,2.0,1.0,115.0,1.3,1.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,3.0,0.0,1.0,0.0,,,100.0,Hwang Hee-chan
12,GK,SONG Bumkeun Bumkeun SONG BUMKEUN,15/10/1997,Korea Republic,KOR,Jeonbuk Hyundai Motors FC,KOR,196,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,Song Bum-keun
13,DF,LEE Taeseok Taeseok LEE TAESEOK,28/07/2002,Korea Republic,KOR,FK Austria Wien,AUT,174,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DF,CHO Wije Wije CHO WIJE,25/08/2001,Korea Republic,KOR,Jeonbuk Hyundai Motors FC,KOR,190,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DF,KIM Moonhwan Moonhwan KIM MOONHWAN,01/08/1995,Korea Republic,KOR,Daejeon Hana Citizen FC,KOR,173,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DF,PARK Jinseob Jinseob PARK JINSEOB,23/10/1995,Korea Republic,KOR,Zhejiang FC,CHN,183,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MF,BAE Junho Junho BAE JUNHO,21/08/2003,Korea Republic,KOR,Stoke City FC,ENG,180,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FW,OH Hyeongyu Hyeongyu OH HYEONGYU,12/04/2001,Korea Republic,KOR,Beşiktaş JK,TUR,183,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MF,LEE Kangin Kangin LEE KANGIN,19/02/2001,Korea Republic,KOR,Paris Saint-Germain,FRA,174,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MF,YANG Hyunjun Hyunjun YANG HYUNJUN,25/05/2002,Korea Republic,KOR,Celtic FC,SCO,179,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GK,JO Hyeonwoo Hyeonwoo JO HYEONWOO,25/09/1991,Korea Republic,KOR,Ulsan HD,KOR,189,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.65217391304348,Jo Hyeon-woo,,,,,,,,,,,,,,,,,,,95.65217391304348,Jo Hyeon-woo
22,DF,SEOL Youngwoo Youngwoo SEOL YOUNGWOO,05/12/1998,Korea Republic,KOR,FK Crvena Zvezda,SRB,180,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DF,CASTROP Jens Jens CASTROP JENS,29/07/2003,Korea Republic,KOR,Borussia Mönchengladbach,GER,178,8,0,,,,,,,,,,,,,,,,,,,,,26.0,20.0,1584.0,17.6,3.0,1.0,0.0,0.0,2.0,2.0,30.0,12.0,31.0,17.0,27.0,0.0,,,100.0,Jens Castrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MF,KIM Jingyu Jingyu KIM JINGYU,24/02/1997,Korea Republic,KOR,Jeonbuk Hyundai Motors FC,KOR,177,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MF,EOM Jisung Jisung EOM JISUNG,09/05/2002,Korea Republic,KOR,Swansea City AFC,WAL,177,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MF,LEE Donggyeong Donggyeong LEE DONGGYEONG,20/09/1997,Korea Republic,KOR,Ulsan HD,KOR,175,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,RANGEL Raul José Raúl RANGEL AGUILAR R. RANGEL,25/02/2000,Mexico,MEX,CD Guadalajara,MEX,190,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DF,SANCHEZ Jorge Jorge Eduardo SÁNCHEZ RAMOS J. SÁNCHEZ,10/12/1997,Mexico,MEX,PAOK Saloniki,GRE,176,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,175.0,1.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,,,100.0,Jorge Sánchez
3,DF,MONTES Cesar César Jasib MONTES CASTRO C. MONTES,24/02/1997,Mexico,MEX,FC Lokomotiv Moscow,RUS,191,70,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,,,100.0,César Montes
4,DF,ALVAREZ Edson Edson Omar ÁLVAREZ VELÁZQUEZ E. ÁLVAREZ,24/10/1997,Mexico,MEX,Fenerbahçe SK,TUR,180,102,7,28.0,20.0,1772.0,19.7,0.0,1.0,0.0,0.0,9.0,1.0,12.0,1.0,42.0,18.0,26.0,0.0,,,100.0,Edson Álvarez,,,,,,,,,,,,,,,,,,,100.0,Edson Álvarez,4.0,3.0,267.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0,0.0,0.0,100.0,Edson Álvarez,2.0,2.0,175.0,1.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,,,100.0,Edson Álvarez
5,DF,VASQUEZ Johan Johan Felipe VÁSQUEZ IBARRA J. VÁSQUEZ,22/10/1998,Mexico,MEX,Genoa CFC,ITA,182,48,3,36.0,34.0,3041.0,33.8,3.0,0.0,0.0,0.0,9.0,0.0,36.0,8.0,31.0,50.0,32.0,0.0,,,100.0,Johan Vásquez,36.0,36.0,3215.0,35.7,1.0,0.0,0.0,0.0,2.0,0.0,24.0,6.0,23.0,46.0,38.0,0.0,,,100.0,Johan Vásquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Johan Vásquez
6,MF,LIRA Erik Erik Antonio LIRA MÉNDEZ E. LIRA,08/05/2000,Mexico,MEX,CF Cruz Azul,MEX,172,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MF,ROMO Luis Luis Francisco ROMO BARRÓN L. ROMO,05/06/1995,Mexico,MEX,CD Guadalajara,MEX,183,64,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Luis Romo
8,MF,FIDALGO Alvaro Álvaro FIDALGO FERNÁNDEZ FIDALGO,09/04/1997,Mexico,MEX,Real Betis,ESP,175,6,1,,,,,,,,,,,,,,,,,,,,,9.0,8.0,542.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,5.0,0.0,,,100.0,Álvaro Fidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FW,JIMENEZ Raul Raúl Alonso JIMÉNEZ RODRÍGUEZ RAÚL,05/05/1991,Mexico,MEX,Fulham FC,ENG,188,128,46,38.0,30.0,2494.0,27.7,12.0,3.0,3.0,3.0,4.0,0.0,96.0,33.0,39.0,11.0,24.0,0.0,,,100.0,Raúl Jiménez,36.0,27.0,2189.0,24.3,9.0,3.0,4.0,4.0,5.0,0.0,73.0,18.0,46.0,7.0,20.0,0.0,,,100.0,Raúl Jiménez,2.0,0.0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,100.0,Raúl Jiménez,3.0,0.0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,100.0,Raúl Jiménez
10,FW,VEGA Alexis Ernesto Alexis VEGA ROJAS A. VEGA,25/11/1997,Mexico,MEX,Deportivo Toluca FC,MEX,175,53,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,1.0,0.0,0.0,,,100.0,Alexis Vega
11,FW,GIMENEZ Santiago Santiago Tomás GIMENEZ S. GIMENEZ,18/04/2001,Mexico,MEX,AC Milan,ITA,180,49,6,14.0,7.0,669.0,7.4,5.0,2.0,0.0,1.0,3.0,1.0,23.0,10.0,11.0,1.0,3.0,0.0,,,100.0,Santiago Giménez,16.0,11.0,892.0,9.9,0.0,1.0,0.0,0.0,2.0,0.0,27.0,9.0,10.0,1.0,5.0,0.0,,,100.0,Santiago Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GK,ACEVEDO Carlos Carlos ACEVEDO LÓPEZ C. ACEVEDO,19/04/1996,Mexico,MEX,Club Santos Laguna,MEX,185,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GK,OCHOA Guillermo Francisco Guillermo OCHOA MAGAÑA G. OCHOA,13/07/1985,Mexico,MEX,AEL Limassol,CYP,185,154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,Guillermo Ochoa,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Guillermo Ochoa
14,FW,GONZALEZ Armando Armando GONZÁLEZ ALBA A. GONZÁLEZ,20/04/2003,Mexico,MEX,CD Guadalajara,MEX,182,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DF,REYES Israel Israel REYES ROMERO I. REYES,23/05/2000,Mexico,MEX,Club América,MEX,181,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FW,QUINONES Julian Julián Andrés QUIÑONES QUIÑONES J. QUIÑONES,24/03/1997,Mexico,MEX,Al Qadsiah FC,KSA,177,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MF,PINEDA Orbelin Orbelín PINEDA ALVARADO ORBELÍN,24/03/1996,Mexico,MEX,AEK Athens,GRE,169,93,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,,,100.0,Orbelín Pineda
18,MF,VARGAS Obed Obed Goméz VARGAS O. VARGAS,05/08/2005,Mexico,MEX,Atlético De Madrid,ESP,175,8,0,,,,,,,,,,,,,,,,,,,,,12.0,8.0,740.0,8.2,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,8.0,16.0,0.0,,,100.0,Obed Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MF,MORA Gilberto Gilberto Rafael MORA ZAMBRANO G. MORA,14/10/2008,Mexico,MEX,Club Tijuana,MEX,175,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DF,CHAVEZ Mateo Mateo CHÁVEZ GARCÍA M. CHÁVEZ,12/05/2004,Mexico,MEX,AZ Alkmaar,NED,178,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,FW,HUERTA Cesar César Saúl HUERTA VALERA C. HUERTA,03/12/2000,Mexico,MEX,RSC Anderlecht,BEL,171,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,FW,MARTINEZ Guillermo Guillermo MARTÍNEZ AYALA G. MARTÍNEZ,15/03/1995,Mexico,MEX,Pumas UNAM,MEX,191,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DF,GALLARDO Jesus Jesús Daniel GALLARDO VASCONCELOS J. GALLARDO,15/08/1994,Mexico,MEX,Deportivo Toluca FC,MEX,174,125,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,334.0,3.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,11.0,4.0,0.0,0.0,0.0,100.0,Jesús Gallardo,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,0.0,,,100.0,Jesús Gallardo
24,MF,CHAVEZ Luis Luis Gerardo CHÁVEZ MAGALLÓN L. CHÁVEZ,15/01/1996,Mexico,MEX,FC Dynamo Moscow,RUS,178,46,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,270.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,0.0,0.0,0.0,,,100.0,Luis Chávez
25,FW,ALVARADO Roberto Roberto Carlos ALVARADO HERNÁNDEZ R. ALVARADO,07/09/1998,Mexico,MEX,CD Guadalajara,MEX,176,71,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,100.0,Roberto Alvarado
26,MF,GUTIERREZ Brian Brian GUTIÉRREZ B. GUTIÉRREZ,17/06/2003,Mexico,MEX,CD Guadalajara,MEX,178,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,BOUNOU Yassine Yassine BOUNOU BONO,05/04/1991,Morocco,MAR,Al Hilal SC,KSA,192,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Yassine Bounou,6.0,6.0,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Yassine Bounou
2,DF,HAKIMI Achraf Achraf HAKIMI HAKIMI,04/11/1998,Morocco,MAR,Paris Saint-Germain,FRA,180,99,12,25.0,24.0,2066.0,23.0,4.0,6.0,0.0,0.0,4.0,0.0,32.0,13.0,19.0,31.0,35.0,0.0,,,100.0,Achraf Hakimi,18.0,15.0,1375.0,15.3,2.0,2.0,0.0,0.0,3.0,1.0,27.0,9.0,9.0,11.0,13.0,0.0,,,100.0,Achraf Hakimi,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,100.0,Achraf Hakimi,7.0,7.0,631.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,9.0,18.0,0.0,,,100.0,Achraf Hakimi
3,DF,MAZRAOUI Noussair Noussair MAZRAOUI MAZRAOUI,14/11/1997,Morocco,MAR,Manchester United FC,ENG,183,48,2,37.0,34.0,2838.0,31.5,0.0,1.0,0.0,0.0,3.0,0.0,13.0,3.0,38.0,35.0,71.0,0.0,,,100.0,Noussair Mazraoui,20.0,11.0,985.0,10.9,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,12.0,11.0,15.0,0.0,,,100.0,Noussair Mazraoui,,,,,,,,,,,,,,,,,,,,,5.0,5.0,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,9.0,0.0,,,100.0,Noussair Mazraoui
4,MF,AMRABAT Sofyan Sofyan AMRABAT AMRABAT,21/08/1996,Morocco,MAR,Real Betis,ESP,185,76,0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,,,100.0,Sofyan Amrabat,17.0,14.0,1295.0,14.4,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,22.0,11.0,13.0,0.0,,,100.0,Sofyan Amrabat,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,Sofyan Amrabat,7.0,7.0,660.0,7.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,6.0,12.0,0.0,,,100.0,Sofyan Amrabat
5,DF,SAADANE Marwane Marwane SAADANE SAADANE,17/01/1992,Morocco,MAR,Al Fateh SC,KSA,185,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MF,BOUADDI Ayyoub Ayyoub BOUADDI BOUADDI,02/10/2007,Morocco,MAR,Lille OSC,FRA,185,5,0,24.0,11.0,1151.0,12.8,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,18.0,12.0,32.0,0.0,,,100.0,Ayyoub Bouaddi,30.0,28.0,2321.0,25.8,0.0,1.0,0.0,0.0,7.0,1.0,16.0,5.0,37.0,27.0,40.0,0.0,,,100.0,Ayyoub Bouaddi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MF,TALBI Chemsdine Chemsdine TALBI TALBI,09/05/2005,Morocco,MAR,Sunderland AFC,ENG,175,7,0,,,,,,,,,,,,,,,,,,,,,28.0,16.0,1561.0,17.3,4.0,1.0,0.0,0.0,0.0,0.0,25.0,10.0,5.0,3.0,6.0,0.0,,,100.0,Chemsdine Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MF,OUNAHI Azzedine Azz-Eddine OUNAHI OUNAHI,19/04/2000,Morocco,MAR,Girona FC,ESP,182,52,9,,,,,,,,,,,,,,,,,,,,,24.0,20.0,1760.0,19.6,5.0,2.0,1.0,1.0,6.0,0.0,51.0,19.0,18.0,16.0,15.0,0.0,,,100.0,Azzedine Ounahi,,,,,,,,,,,,,,,,,,,,,7.0,6.0,568.0,6.3,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,3.0,7.0,7.0,0.0,,,100.0,Azzedine Ounahi
9,FW,RAHIMI Sou,02/06/1996,Morocco,MAR,Al Ain FC,UAE,180,40,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
